Symbol,Industry,Series
JSL,Metals & Mining,EQ
JINDALSTEL,Metals & Mining,EQ
JIOFIN,Financial Services,EQ
JUBLFOOD,Consumer Services,EQ
JUBLINGREA,Chemicals,EQ
JUBLPHARMA,Healthcare,EQ
JWL,Capital Goods,EQ
JYOTHYLAB,Fast Moving Consumer Goods,EQ
JYOTICNC,Capital Goods,EQ
KPRMILL,Textiles,EQ
KEI,Capital Goods,EQ
KPITTECH,Information Technology,EQ
KSB,Capital Goods,EQ
KAJARIACER,Consumer Durables,EQ
KPIL,Construction,EQ
KALYANKJIL,Consumer Durables,EQ
KARURVYSYA,Financial Services,EQ
KAYNES,Capital Goods,EQ
KEC,Construction,EQ
KFINTECH,Financial Services,EQ
KIRLOSBROS,Capital Goods,EQ
KIRLOSENG,Capital Goods,EQ
KOTAKBANK,Financial Services,EQ
KIMS,Healthcare,EQ
LTF,Financial Services,EQ
LTTS,Information Technology,EQ
LICHSGFIN,Financial Services,EQ
LTFOODS,Fast Moving Consumer Goods,EQ
LTIM,Information Technology,EQ
LT,Construction,EQ
LATENTVIEW,Information Technology,EQ
LAURUSLABS,Healthcare,EQ
THELEELA,Consumer Services,EQ
LEMONTREE,Consumer Services,EQ
LICI,Financial Services,EQ
LINDEINDIA,Chemicals,EQ
LLOYDSME,Metals & Mining,EQ
LODHA,Realty,EQ
LUPIN,Healthcare,EQ
MMTC,Services,EQ
MRF,Automobile and Auto Components,EQ
MGL,Oil Gas & Consumable Fuels,EQ
MAHSCOOTER,Financial Services,EQ
MAHSEAMLES,Capital Goods,EQ
M&MFIN,Financial Services,EQ
M&M,Automobile and Auto Components,EQ
MANAPPURAM,Financial Services,EQ
MRPL,Oil Gas & Consumable Fuels,EQ
MANKIND,Healthcare,EQ
MARICO,Fast Moving Consumer Goods,EQ
MARUTI,Automobile and Auto Components,EQ
MFSL,Financial Services,EQ
MAXHEALTH,Healthcare,EQ
MAZDOCK,Capital Goods,EQ
METROPOLIS,Healthcare,EQ
MINDACORP,Automobile and Auto Components,EQ
MSUMI,Automobile and Auto Components,EQ
MOTILALOFS,Financial Services,EQ
MPHASIS,Information Technology,EQ
MCX,Financial Services,EQ
MUTHOOTFIN,Financial Services,EQ
NATCOPHARM,Healthcare,EQ
NBCC,Construction,EQ
NCC,Construction,EQ
NHPC,Power,EQ
NLCINDIA,Power,EQ
NMDC,Metals & Mining,EQ
NSLNISP,Metals & Mining,EQ
NTPCGREEN,Power,EQ
NTPC,Power,EQ
NH,Healthcare,EQ
NATIONALUM,Metals & Mining,EQ
NAVA,Power,EQ
NAVINFLUOR,Chemicals,EQ
NESTLEIND,Fast Moving Consumer Goods,EQ
NETWEB,Information Technology,EQ
NEULANDLAB,Healthcare,EQ
NEWGEN,Information Technology,EQ
NAM-INDIA,Financial Services,EQ
NIVABUPA,Financial Services,EQ
NUVAMA,Financial Services,EQ
NUVOCO,Construction Materials,EQ
OBEROIRLTY,Realty,EQ
ONGC,Oil Gas & Consumable Fuels,EQ
OIL,Oil Gas & Consumable Fuels,EQ
OLAELEC,Automobile and Auto Components,EQ
OLECTRA,Automobile and Auto Components,EQ
PAYTM,Financial Services,EQ
ONESOURCE,Healthcare,EQ
OFSS,Information Technology,EQ
POLICYBZR,Financial Services,EQ
PCBL,Chemicals,EQ
PGEL,Consumer Durables,EQ
PIIND,Chemicals,EQ
PNBHOUSING,Financial Services,EQ
PTCIL,Capital Goods,EQ
PVRINOX,Media Entertainment & Publication,EQ
PAGEIND,Textiles,EQ
PATANJALI,Fast Moving Consumer Goods,EQ
PERSISTENT,Information Technology,EQ
PETRONET,Oil Gas & Consumable Fuels,EQ
PFIZER,Healthcare,EQ
PHOENIXLTD,Realty,EQ
PIDILITIND,Chemicals,EQ
PPLPHARMA,Healthcare,EQ
POLYMED,Healthcare,EQ
POLYCAB,Capital Goods,EQ
POONAWALLA,Financial Services,EQ
PFC,Financial Services,EQ
POWERGRID,Power,EQ
PRAJIND,Capital Goods,EQ
PREMIERENE,Capital Goods,EQ
PRESTIGE,Realty,EQ
PGHH,Fast Moving Consumer Goods,EQ
PNB,Financial Services,EQ
RRKABEL,Capital Goods,EQ
RBLBANK,Financial Services,EQ
RECLTD,Financial Services,EQ
RHIM,Capital Goods,EQ
RITES,Construction,EQ
RADICO,Fast Moving Consumer Goods,EQ
RVNL,Construction,EQ
RAILTEL,Telecommunication,EQ
RAINBOW,Healthcare,EQ
RKFORGE,Automobile and Auto Components,EQ
RCF,Chemicals,EQ
REDINGTON,Services,EQ
RELIANCE,Oil Gas & Consumable Fuels,EQ
RELINFRA,Power,BE
RPOWER,Power,EQ
SBFC,Financial Services,EQ
SBICARD,Financial Services,EQ
SBILIFE,Financial Services,EQ
SJVN,Power,EQ
SKFINDIA,Automobile and Auto Components,EQ
SRF,Chemicals,EQ
SAGILITY,Information Technology,EQ
SAILIFE,Healthcare,EQ
SAMMAANCAP,Financial Services,EQ
MOTHERSON,Automobile and Auto Components,EQ
SAPPHIRE,Consumer Services,EQ
SARDAEN,Metals & Mining,EQ
SAREGAMA,Media Entertainment & Publication,EQ
SCHAEFFLER,Automobile and Auto Components,EQ
SCHNEIDER,Capital Goods,EQ
SCI,Services,EQ
SHREECEM,Construction Materials,EQ
SHRIRAMFIN,Financial Services,EQ
SHYAMMETL,Capital Goods,EQ
ENRIN,Capital Goods,EQ
SIEMENS,Capital Goods,EQ
SIGNATURE,Realty,EQ
SOBHA,Realty,EQ
SOLARINDS,Chemicals,EQ
SONACOMS,Automobile and Auto Components,EQ
SONATSOFTW,Information Technology,EQ
STARHEALTH,Financial Services,EQ
SBIN,Financial Services,EQ
SAIL,Metals & Mining,EQ
SUMICHEM,Chemicals,EQ
