TIMESTAMP,EXP_DATE,SYMBOL,INSTRUMENT,OPEN_PRICE,HI_PRICE,LO_PRICE,CLOSE_PRICE,OPEN_INT*,TRD_VAL,TRD_QTY,NO_OF_CONT,NO_OF_TRADE,OPEN_INT
2024-11-29,2025-02-27,HINDUNILVR,FUTSTK,2538.0,2549.3,2527.0,2538.55,900,3809160.0,1500,5,5.0,900
2024-11-29,2024-12-26,HINDUNILVR,FUTSTK,2480.0,2517.0,2475.4,2506.2,15057300,5758590270.0,2298900,7663,6916.0,15057300
2024-12-02,2024-12-26,HINDUNILVR,FUTSTK,2502.55,2502.55,2472.05,2488.5,14731500,4676108265.0,1879500,6265,5825.0,14731500
2024-12-02,2025-01-30,HINDUNILVR,FUTSTK,2512.15,2515.45,2490.0,2506.9,370800,165382890.0,66000,220,217.0,370800
2024-12-02,2025-02-27,HINDUNILVR,FUTSTK,2521.2,2528.6,2504.0,2528.6,7200,18140895.0,7200,24,23.0,7200
2024-12-03,2024-12-26,HINDUNILVR,FUTSTK,2490.65,2494.7,2475.05,2489.05,14682300,2581192800.0,1038000,3460,3141.0,14682300
2024-12-03,2025-01-30,HINDUNILVR,FUTSTK,2504.15,2509.15,2496.0,2505.9,383700,102861225.0,41100,137,129.0,383700
2024-12-03,2025-02-27,HINDUNILVR,FUTSTK,2516.0,2523.0,2515.4,2522.85,20700,39313755.0,15600,52,42.0,20700
2024-12-04,2024-12-26,HINDUNILVR,FUTSTK,2494.25,2498.0,2463.0,2471.0,14583300,3970669875.0,1599600,5332,4907.0,14583300
2024-12-04,2025-01-30,HINDUNILVR,FUTSTK,2503.1,2514.5,2481.55,2489.7,412500,149120100.0,59700,199,178.0,412500
2024-12-04,2025-02-27,HINDUNILVR,FUTSTK,2520.8,2527.8,2500.0,2504.65,28800,25657680.0,10200,34,34.0,28800
2024-12-05,2025-02-27,HINDUNILVR,FUTSTK,2510.0,2546.45,2495.0,2533.35,33600,31741155.0,12600,42,40.0,33600
2024-12-05,2025-01-30,HINDUNILVR,FUTSTK,2489.25,2537.3,2476.9,2516.65,429900,314641185.0,125400,418,384.0,429900
2024-12-05,2024-12-26,HINDUNILVR,FUTSTK,2468.75,2520.9,2456.85,2499.4,14459400,8829166545.0,3537600,11792,10474.0,14459400
2024-12-06,2024-12-26,HINDUNILVR,FUTSTK,2501.05,2506.75,2484.0,2490.65,14189400,2658574680.0,1066800,3556,3299.0,14189400
2024-12-06,2025-01-30,HINDUNILVR,FUTSTK,2516.8,2523.0,2501.65,2508.0,445200,188198895.0,75000,250,232.0,445200
2024-12-06,2025-02-27,HINDUNILVR,FUTSTK,2535.6,2536.45,2520.0,2522.8,37800,17437515.0,6900,23,23.0,37800
2024-12-09,2024-12-26,HINDUNILVR,FUTSTK,2455.0,2472.25,2385.75,2403.75,14755800,11413803045.0,4752900,15843,14398.0,14755800
2024-12-09,2025-01-30,HINDUNILVR,FUTSTK,2489.0,2510.0,2403.15,2420.3,633900,1052921490.0,435600,1452,1381.0,633900
2024-12-09,2025-02-27,HINDUNILVR,FUTSTK,2502.0,2502.0,2420.0,2440.05,92400,200728890.0,82500,275,261.0,92400
2024-12-10,2024-12-26,HINDUNILVR,FUTSTK,2405.45,2422.25,2398.0,2407.15,13688400,4475528670.0,1858800,6196,5440.0,13688400
2024-12-10,2025-01-30,HINDUNILVR,FUTSTK,2425.0,2439.6,2415.65,2424.1,664200,346324785.0,142800,476,454.0,664200
2024-12-10,2025-02-27,HINDUNILVR,FUTSTK,2439.05,2451.95,2433.0,2439.5,97500,39550710.0,16200,54,53.0,97500
2024-12-11,2025-01-30,HINDUNILVR,FUTSTK,2424.1,2432.0,2411.1,2424.65,749400,506234340.0,208800,696,653.0,749400
2024-12-11,2025-02-27,HINDUNILVR,FUTSTK,2442.0,2445.7,2429.45,2440.65,107700,49789980.0,20400,68,64.0,107700
2024-12-11,2024-12-26,HINDUNILVR,FUTSTK,2408.0,2415.6,2393.5,2406.1,14159400,5768181360.0,2397600,7992,7523.0,14159400
2024-12-12,2025-02-27,HINDUNILVR,FUTSTK,2436.25,2437.25,2373.1,2380.55,156000,170983125.0,71400,238,220.0,156000
2024-12-12,2025-01-30,HINDUNILVR,FUTSTK,2422.7,2427.0,2358.0,2364.75,1009800,1176028935.0,493500,1645,1556.0,1009800
2024-12-12,2024-12-26,HINDUNILVR,FUTSTK,2401.75,2409.0,2340.0,2347.4,14457900,10592034900.0,4482600,14942,13436.0,14457900
2024-12-13,2024-12-26,HINDUNILVR,FUTSTK,2351.7,2396.15,2334.3,2390.75,13275300,10073411130.0,4248300,14161,12366.0,13275300
2024-12-13,2025-01-30,HINDUNILVR,FUTSTK,2365.35,2414.65,2353.6,2407.9,1002600,758361630.0,317700,1059,949.0,1002600
2024-12-13,2025-02-27,HINDUNILVR,FUTSTK,2380.0,2426.0,2370.0,2419.0,162300,137585760.0,57300,191,173.0,162300
2024-12-16,2024-12-26,HINDUNILVR,FUTSTK,2395.15,2395.15,2366.6,2372.85,13577700,5404711245.0,2276100,7587,6915.0,13577700
2024-12-16,2025-01-30,HINDUNILVR,FUTSTK,2406.45,2415.0,2384.5,2391.75,1159200,758266065.0,317100,1057,958.0,1159200
2024-12-16,2025-02-27,HINDUNILVR,FUTSTK,2428.95,2428.95,2399.75,2406.7,168000,82411140.0,34200,114,91.0,168000
2024-12-17,2024-12-26,HINDUNILVR,FUTSTK,2367.25,2383.35,2360.9,2370.5,13524600,5283627735.0,2227500,7425,6821.0,13524600
