INSTRUMENT,SYMBOL    ,EXP_DATE  ,OPEN_PRICE ,HI_PRICE   ,LO_PRICE   ,CLOSE_PRICE,OPEN_INT*      ,TRD_VAL           ,TRD_QTY          ,NO_OF_CONT       ,NO_OF_TRADE      
FUTSTK    ,MARUTI    ,27/01/2026,00017330.00,00017335.00,00016595.00,00016875.00,000000002899850,    16059108850.00,           950550,            19011,            15372
FUTSTK    ,MARUTI    ,24/02/2026,00017357.00,00017368.00,00016697.00,00016963.00,000000000051700,      850574100.00,            50150,             1003,              928
FUTSTK    ,MARUTI    ,30/03/2026,00017429.00,00017430.00,00016810.00,00017071.00,000000000012100,      233924050.00,            13700,              274,              268
FUTSTK    ,RELIANCE  ,27/01/2026,00001518.00,00001523.90,00001504.50,00001511.50,000000103366500,    18851200150.00,         12454500,            24909,            20358
FUTSTK    ,RELIANCE  ,24/02/2026,00001524.00,00001532.70,00001514.00,00001520.10,000000004168500,     2007416700.00,          1318500,             2637,             2486
FUTSTK    ,RELIANCE  ,30/03/2026,00001535.00,00001542.30,00001523.90,00001529.70,000000001307500,     1091760900.00,           713500,             1427,             1408
FUTSTK    ,TRENT     ,27/01/2026,00004070.00,00004090.00,00004009.00,00004079.50,000000009006800,     5750363470.00,          1419100,            14191,            12148
FUTSTK    ,TRENT     ,24/02/2026,00004082.30,00004111.90,00004032.50,00004103.00,000000000475300,      622238680.00,           152700,             1527,             1308
FUTSTK    ,TRENT     ,30/03/2026,00004105.30,00004140.00,00004058.00,00004127.70,000000000084800,      144623090.00,            35300,              353,              317
FUTSTK    ,GAIL      ,27/01/2026,00000169.84,00000170.70,00000167.90,00000169.05,000000086221800,     1854330250.50,         10971450,             3483,             3109
FUTSTK    ,GAIL      ,24/02/2026,00000170.46,00000171.55,00000169.00,00000170.05,000000004491900,      209229016.50,          1231650,              391,              311
FUTSTK    ,GAIL      ,30/03/2026,00000171.67,00000172.29,00000170.00,00000170.93,000000000513450,       47948134.50,           280350,              089,              083
FUTSTK    ,GLENMARK  ,27/01/2026,00002087.70,00002157.80,00002083.00,00002122.50,000000011286750,     8628880425.00,          4052625,            10807,             8172
FUTSTK    ,GLENMARK  ,24/02/2026,00002099.50,00002166.00,00002099.50,00002134.10,000000000049125,      171603525.00,            80250,              214,              207
FUTSTK    ,GLENMARK  ,30/03/2026,00002115.10,00002180.00,00002115.10,00002149.10,000000000011625,       28211287.50,            13125,              035,              033
FUTSTK    ,GMRAIRPORT,27/01/2026,00000105.00,00000105.80,00000103.90,00000105.03,000000167100075,     2603459763.00,         24817050,             3558,             2805
FUTSTK    ,GMRAIRPORT,24/02/2026,00000104.91,00000106.40,00000104.50,00000105.67,000000004464000,      130182934.50,          1234575,              177,              172
FUTSTK    ,GMRAIRPORT,30/03/2026,00000105.85,00000107.03,00000105.66,00000106.60,000000000537075,        8168073.75,            76725,              011,              011
FUTSTK    ,GODREJCP  ,27/01/2026,00001275.00,00001275.10,00001241.10,00001250.60,000000009359000,     3907889500.00,          3112000,             6224,             5127
FUTSTK    ,GODREJCP  ,24/02/2026,00001268.80,00001271.00,00001244.00,00001252.60,000000000057000,       93705100.00,            74500,              149,              141
FUTSTK    ,GODREJCP  ,30/03/2026,00001270.00,00001270.00,00001250.00,00001260.60,000000000004000,        5681400.00,             4500,              009,              009
FUTSTK    ,GODREJPROP,27/01/2026,00002133.00,00002164.40,00002108.40,00002148.70,000000008998000,     3678146917.50,          1716000,             6240,             4766
FUTSTK    ,GODREJPROP,24/02/2026,00002143.90,00002175.80,00002121.00,00002160.70,000000000171050,       92449225.00,            42900,              156,              138
FUTSTK    ,GODREJPROP,30/03/2026,00002151.40,00002177.00,00002138.80,00002171.80,000000000016775,       20806582.50,             9625,              035,              030
FUTSTK    ,GRASIM    ,27/01/2026,00002876.70,00002876.70,00002840.40,00002848.60,000000016195500,     1970645025.00,           689500,             2758,             2025
FUTSTK    ,GRASIM    ,24/02/2026,00002889.80,00002891.00,00002859.60,00002867.70,000000000060250,       51712275.00,            18000,              072,              070
FUTSTK    ,LAURUSLABS,27/01/2026,00001124.00,00001145.00,00001120.00,00001134.40,000000015558400,     4704588160.00,          4143750,             4875,             3729
FUTSTK    ,LAURUSLABS,24/02/2026,00001126.60,00001151.00,00001126.60,00001140.00,000000001237600,      795085155.00,           696150,              819,              461
FUTSTK    ,LAURUSLABS,30/03/2026,00001145.00,00001157.30,00001143.10,00001148.10,000000000045900,       44937970.00,            39100,              046,              043
FUTSTK    ,LICHSGFIN ,27/01/2026,00000541.30,00000545.60,00000535.50,00000539.60,000000032430000,      926370000.00,          1715000,             1715,             1418
FUTSTK    ,LICHSGFIN ,24/02/2026,00000543.20,00000549.00,00000538.70,00000543.25,000000000971000,      103085400.00,           190000,              190,              160
FUTSTK    ,LICHSGFIN ,30/03/2026,00000549.00,00000549.00,00000542.85,00000546.40,000000000051000,       13121150.00,            24000,              024,              023
FUTSTK    ,LICI      ,27/01/2026,00000854.00,00000856.60,00000848.10,00000853.70,000000010856300,      913843770.00,          1073100,             1533,             1267
FUTSTK    ,LICI      ,24/02/2026,00000856.65,00000859.05,00000852.50,00000857.50,000000000881300,       75382475.00,            88200,              126,              122
