TIMESTAMP,EXP_DATE,SYMBOL,INSTRUMENT,OPEN_PRICE,HI_PRICE,LO_PRICE,CLOSE_PRICE,OPEN_INT*,TRD_VAL,TRD_QTY,NO_OF_CONT,NO_OF_TRADE,OPEN_INT
2018-03-09,2018-04-26,COALINDIA,FUTSTK,288.3,289.5,285.85,286.7,530200.0,9496300.0,33000.0,15.0,15.0,530200.0
2018-03-09,2018-05-31,COALINDIA,,283.65,286.15,280.75,282.7,0.0,0.0,0.0,0.0,,0.0
2018-03-12,2018-03-28,COALINDIA,FUTSTK,288.85,290.3,279.75,281.75,16746400.0,2148854400.0,7596600.0,3453.0,2921.0,16746400.0
2018-03-12,2018-04-26,COALINDIA,FUTSTK,290.0,291.15,281.65,282.95,567600.0,108419960.0,378400.0,172.0,159.0,567600.0
2018-03-12,2018-05-31,COALINDIA,FUTSTK,285.1,285.1,284.8,284.8,8800.0,1880890.0,6600.0,3.0,3.0,8800.0
2018-03-13,2018-03-28,COALINDIA,FUTSTK,281.0,282.2,273.7,278.3,17179800.0,1911225250.0,6897000.0,3135.0,2823.0,17179800.0
2018-03-13,2018-04-26,COALINDIA,FUTSTK,282.95,283.15,275.4,279.6,633600.0,69121690.0,248600.0,113.0,108.0,633600.0
2018-03-13,2018-05-31,COALINDIA,FUTSTK,277.35,278.65,276.2,278.65,19800.0,3661570.0,13200.0,6.0,6.0,19800.0
2018-03-14,2018-03-28,COALINDIA,FUTSTK,275.5,277.2,273.8,275.85,18238000.0,1341606860.0,4868600.0,2213.0,2058.0,18238000.0
2018-03-14,2018-04-26,COALINDIA,FUTSTK,276.4,278.0,275.7,277.0,690800.0,40184540.0,145200.0,66.0,64.0,690800.0
2018-03-14,2018-05-31,COALINDIA,,274.8,278.2,274.5,276.9,0.0,0.0,0.0,0.0,,0.0
2018-03-15,2018-03-28,COALINDIA,FUTSTK,275.25,279.5,274.65,277.3,18339200.0,1747055310.0,6298600.0,2863.0,2672.0,18339200.0
2018-03-15,2018-04-26,COALINDIA,FUTSTK,277.2,280.55,276.0,278.35,1436600.0,255805550.0,915200.0,416.0,125.0,1436600.0
2018-03-15,2018-05-31,COALINDIA,FUTSTK,0.0,0.0,0.0,278.65,635800.0,173280800.0,616000.0,280.0,4.0,635800.0
2018-03-16,2018-03-28,COALINDIA,FUTSTK,278.55,280.05,275.7,278.85,18086200.0,2109604640.0,7590000.0,3450.0,2950.0,18086200.0
2018-03-16,2018-04-26,COALINDIA,FUTSTK,278.8,281.0,277.0,280.25,1511400.0,157995530.0,565400.0,257.0,225.0,1511400.0
2018-03-16,2018-05-31,COALINDIA,FUTSTK,280.65,280.8,278.45,280.1,638000.0,2464000.0,8800.0,4.0,4.0,638000.0
