TIMESTAMP,INSTRUMENT,SYMBOL,EXP_DATE,OPEN_PRICE,HI_PRICE,LO_PRICE,CLOSE_PRICE,OPEN_INT*,TRD_VAL,TRD_QTY,NO_OF_CONT,NO_OF_TRADE,OPEN_INT
2017-03-31,,AARTIIND,2017-04-27,763.2,768.9,755.05,765.55,,0.0,0.0,0.0,,0.0
2017-03-31,,AARTIIND,2017-05-25,763.2,768.9,755.05,765.55,,0.0,0.0,0.0,,0.0
2017-03-31,,AARTIIND,2017-06-29,763.2,768.9,755.05,765.55,,0.0,0.0,0.0,,0.0
2017-04-03,,AARTIIND,2017-04-27,773.95,797.0,768.1,789.5,,0.0,0.0,0.0,,0.0
2017-04-03,,AARTIIND,2017-05-25,773.95,797.0,768.1,789.5,,0.0,0.0,0.0,,0.0
2017-04-03,,AARTIIND,2017-06-29,773.95,797.0,768.1,789.5,,0.0,0.0,0.0,,0.0
2017-04-05,,AARTIIND,2017-04-27,792.8,798.5,788.5,793.8,,0.0,0.0,0.0,,0.0
2017-04-05,,AARTIIND,2017-05-25,792.8,798.5,788.5,793.8,,0.0,0.0,0.0,,0.0
2017-04-05,,AARTIIND,2017-06-29,792.8,798.5,788.5,793.8,,0.0,0.0,0.0,,0.0
2017-04-06,,AARTIIND,2017-04-27,797.95,798.0,782.5,784.35,,0.0,0.0,0.0,,0.0
2017-04-06,,AARTIIND,2017-05-25,797.95,798.0,782.5,784.35,,0.0,0.0,0.0,,0.0
2017-04-06,,AARTIIND,2017-06-29,797.95,798.0,782.5,784.35,,0.0,0.0,0.0,,0.0
2017-04-07,,AARTIIND,2017-04-27,775.0,789.0,768.7,784.9,,0.0,0.0,0.0,,0.0
2017-04-07,,AARTIIND,2017-05-25,775.0,789.0,768.7,784.9,,0.0,0.0,0.0,,0.0
2017-04-07,,AARTIIND,2017-06-29,775.0,789.0,768.7,784.9,,0.0,0.0,0.0,,0.0
2017-04-10,,AARTIIND,2017-04-27,782.2,789.95,777.0,782.5,,0.0,0.0,0.0,,0.0
2017-04-10,,AARTIIND,2017-05-25,782.2,789.95,777.0,782.5,,0.0,0.0,0.0,,0.0
2017-04-10,,AARTIIND,2017-06-29,782.2,789.95,777.0,782.5,,0.0,0.0,0.0,,0.0
2017-04-11,,AARTIIND,2017-04-27,797.5,797.5,788.1,793.35,,0.0,0.0,0.0,,0.0
2017-04-11,,AARTIIND,2017-05-25,797.5,797.5,788.1,793.35,,0.0,0.0,0.0,,0.0
2017-04-11,,AARTIIND,2017-06-29,797.5,797.5,788.1,793.35,,0.0,0.0,0.0,,0.0
2017-04-12,,AARTIIND,2017-04-27,797.5,797.5,778.55,787.0,,0.0,0.0,0.0,,0.0
2017-04-12,,AARTIIND,2017-05-25,797.5,797.5,778.55,787.0,,0.0,0.0,0.0,,0.0
2017-04-12,,AARTIIND,2017-06-29,797.5,797.5,778.55,787.0,,0.0,0.0,0.0,,0.0
2017-04-13,,AARTIIND,2017-04-27,791.35,791.35,770.3,777.6,,0.0,0.0,0.0,,0.0
2017-04-13,,AARTIIND,2017-05-25,791.35,791.35,770.3,777.6,,0.0,0.0,0.0,,0.0
2017-04-13,,AARTIIND,2017-06-29,791.35,791.35,770.3,777.6,,0.0,0.0,0.0,,0.0
2017-04-17,,AARTIIND,2017-04-27,778.5,790.75,778.5,786.1,,0.0,0.0,0.0,,0.0
2017-04-17,,AARTIIND,2017-05-25,778.5,790.75,778.5,786.1,,0.0,0.0,0.0,,0.0
2017-04-17,,AARTIIND,2017-06-29,778.5,790.75,778.5,786.1,,0.0,0.0,0.0,,0.0
2017-04-18,,AARTIIND,2017-04-27,786.0,802.4,786.0,792.65,,0.0,0.0,0.0,,0.0
2017-04-18,,AARTIIND,2017-05-25,786.0,802.4,786.0,792.65,,0.0,0.0,0.0,,0.0
2017-04-18,,AARTIIND,2017-06-29,786.0,802.4,786.0,792.65,,0.0,0.0,0.0,,0.0
2017-04-19,,AARTIIND,2017-04-27,792.95,798.6,784.0,792.7,,0.0,0.0,0.0,,0.0
2017-04-19,,AARTIIND,2017-05-25,792.95,798.6,784.0,792.7,,0.0,0.0,0.0,,0.0
2017-04-19,,AARTIIND,2017-06-29,792.95,798.6,784.0,792.7,,0.0,0.0,0.0,,0.0
2017-04-20,,AARTIIND,2017-04-27,797.6,813.0,791.3,800.6,,0.0,0.0,0.0,,0.0
2017-04-20,,AARTIIND,2017-05-25,797.6,813.0,791.3,800.6,,0.0,0.0,0.0,,0.0
2017-04-20,,AARTIIND,2017-06-29,797.6,813.0,791.3,800.6,,0.0,0.0,0.0,,0.0
2017-04-21,,AARTIIND,2017-04-27,793.0,806.0,782.65,800.9,,0.0,0.0,0.0,,0.0
2017-04-21,,AARTIIND,2017-05-25,793.0,806.0,782.65,800.9,,0.0,0.0,0.0,,0.0
2017-04-21,,AARTIIND,2017-06-29,793.0,806.0,782.65,800.9,,0.0,0.0,0.0,,0.0
2017-04-24,,AARTIIND,2017-04-27,803.9,807.0,790.1,798.4,,0.0,0.0,0.0,,0.0
2017-04-24,,AARTIIND,2017-05-25,803.9,807.0,790.1,798.4,,0.0,0.0,0.0,,0.0
2017-04-24,,AARTIIND,2017-06-29,803.9,807.0,790.1,798.4,,0.0,0.0,0.0,,0.0
2017-04-25,,AARTIIND,2017-04-27,800.0,808.95,795.15,806.45,,0.0,0.0,0.0,,0.0
2017-04-25,,AARTIIND,2017-05-25,800.0,808.95,795.15,806.45,,0.0,0.0,0.0,,0.0
