TIMESTAMP,INSTRUMENT,SYMBOL,EXP_DATE,OPEN_PRICE,HI_PRICE,LO_PRICE,CLOSE_PRICE,OPEN_INT*,TRD_VAL,TRD_QTY,NO_OF_CONT,NO_OF_TRADE,OPEN_INT
2018-03-19,FUTSTK,ICICIBANK,2018-04-26,301.0,302.05,294.0,297.15,3825250.0,444355037.5,1493250.0,543.0,519.0,
2018-03-19,FUTSTK,ICICIBANK,2018-05-31,299.3,299.5,295.25,298.2,660000.0,13933562.5,46750.0,17.0,15.0,
2018-03-20,FUTSTK,ICICIBANK,2018-03-28,294.85,298.5,291.55,293.2,92754750.0,7766196487.5,26361500.0,9586.0,8665.0,
2018-03-20,FUTSTK,ICICIBANK,2018-04-26,296.4,299.2,292.8,294.6,4072750.0,443273600.0,1498750.0,545.0,495.0,
2018-03-20,FUTSTK,ICICIBANK,2018-05-31,297.45,300.05,295.0,295.15,668250.0,13069925.0,44000.0,16.0,15.0,
2018-03-21,FUTSTK,ICICIBANK,2018-03-28,295.05,296.2,288.45,290.7,91839000.0,9316196725.0,31809250.0,11567.0,10456.0,
2018-03-21,FUTSTK,ICICIBANK,2018-04-26,296.6,297.4,289.7,292.05,7075750.0,1524100325.0,5194750.0,1889.0,1420.0,
2018-03-21,FUTSTK,ICICIBANK,2018-05-31,297.05,298.15,291.05,292.35,690250.0,12962537.5,44000.0,16.0,16.0,
2018-03-22,FUTSTK,ICICIBANK,2018-03-28,290.95,290.95,281.95,284.4,90260500.0,12310023962.5,43054000.0,15656.0,13155.0,
2018-03-22,FUTSTK,ICICIBANK,2018-04-26,293.0,293.0,283.4,285.8,13235750.0,3451195000.0,12009250.0,4367.0,3187.0,
2018-03-22,FUTSTK,ICICIBANK,2018-05-31,292.0,292.0,284.75,286.7,693000.0,259617325.0,907500.0,330.0,50.0,
2018-03-23,FUTSTK,ICICIBANK,2018-03-28,278.1,278.5,274.6,276.4,86278500.0,13099365675.0,47388000.0,17232.0,14306.0,
2018-03-23,FUTSTK,ICICIBANK,2018-04-26,280.0,280.0,275.95,277.85,20512250.0,3492658950.0,12573000.0,4572.0,3268.0,
2018-03-23,FUTSTK,ICICIBANK,2018-05-31,277.65,280.0,277.6,278.95,704000.0,19153200.0,68750.0,25.0,25.0,
